Latitude,Longitude,Acceleration_x,Acceleration_y,Acceleration_z,Gyro_x,Gyro_y,Gyro_z,Temperature,Pressure,Altitude,Voltage,RfLink
2654.66506,8604.80883,-0.09,0.15,9.13,-0.03,0.03,0,42.43,989.04,203.56,3.32,1
,,,,,,,,,,,,
2654.66503,8604.80884,-0.1,0.15,9.16,-0.03,0.03,0,42.43,989.04,203.52,3.34,1
,,,,,,,,,,,,
2654.66501,8604.80883,-0.08,0.14,9.13,-0.03,0.03,0,42.43,989.04,203.57,3.32,1
,,,,,,,,,,,,
2654.665,8604.80881,-0.08,0.16,9.11,-0.03,0.04,0,42.42,989.04,203.54,3.33,1
,,,,,,,,,,,,
2654.66498,8604.80878,-0.09,0.16,9.1,-0.03,0.03,0,42.42,989.03,203.68,3.33,1
,,,,,,,,,,,,
2654.66497,8604.80875,-0.1,0.15,9.13,-0.03,0.03,0,42.42,989.03,203.63,3.32,1
,,,,,,,,,,,,
2654.66497,8604.80873,-0.09,0.14,9.1,-0.03,0.04,0,42.42,989.03,203.62,3.32,1
,,,,,,,,,,,,
2654.66496,8604.80871,-0.11,0.15,9.11,-0.03,0.03,0,42.42,989.03,203.62,3.32,1
,,,,,,,,,,,,
2654.66497,8604.80869,-0.09,0.16,9.11,-0.03,0.03,0,42.42,989.03,203.63,3.32,1
,,,,,,,,,,,,
2654.66497,8604.80867,-0.07,0.16,9.14,-0.03,0.03,0,42.42,989.03,203.63,3.33,1
,,,,,,,,,,,,
2654.66495,8604.80866,-0.08,0.15,9.15,-0.03,0.03,0,42.42,989.03,203.65,3.33,1
,,,,,,,,,,,,
2654.66495,8604.80866,-0.1,0.15,9.12,-0.03,0.03,0,42.42,989.03,203.53,3.34,1
,,,,,,,,,,,,
2654.66494,8604.80864,-0.09,0.15,9.14,-0.03,0.04,0,42.42,989.03,203.62,3.34,1
,,,,,,,,,,,,
2654.66492,8604.80865,-0.07,0.15,9.12,-0.03,0.03,0,42.42,989.03,203.61,3.33,1
,,,,,,,,,,,,
2654.6649,8604.80865,-0.07,0.14,9.13,-0.03,0.03,0,42.42,989.03,203.61,3.33,1
,,,,,,,,,,,,
2654.66489,8604.80864,-0.08,0.17,9.13,-0.03,0.03,0,42.42,989.03,203.64,3.33,1
,,,,,,,,,,,,
2654.6649,8604.80863,-0.09,0.16,9.13,-0.03,0.03,0,42.42,989.03,203.56,3.32,1
,,,,,,,,,,,,
2654.66488,8604.80862,-0.1,0.16,9.14,-0.03,0.03,0,42.42,989.03,203.56,3.33,1
,,,,,,,,,,,,
2654.66489,8604.8086,-0.07,0.15,9.13,-0.03,0.03,0,42.42,989.04,203.52,3.33,1
,,,,,,,,,,,,
2654.66487,8604.8086,-0.07,0.16,9.11,-0.03,0.03,0,42.42,989.05,203.47,3.33,1
,,,,,,,,,,,,
2654.66485,8604.80859,-0.1,0.14,9.12,-0.03,0.03,0,42.42,989.04,203.48,3.33,1
,,,,,,,,,,,,
2654.66484,8604.80858,-0.08,0.18,9.16,-0.03,0.03,0,42.42,989.06,203.4,3.32,1
,,,,,,,,,,,,
2654.66482,8604.80857,-0.09,0.15,9.13,-0.03,0.04,0,42.42,989.05,203.53,3.32,1
,,,,,,,,,,,,
2654.66481,8604.80855,-0.09,0.17,9.12,-0.03,0.03,0,42.42,989.04,203.52,3.32,1
,,,,,,,,,,,,
2654.66477,8604.80852,-0.1,0.14,9.11,-0.03,0.04,0,42.42,989.04,203.57,3.32,1
,,,,,,,,,,,,
2654.66476,8604.80851,-0.08,0.16,9.13,-0.03,0.03,0,42.42,989.04,203.51,3.32,1
,,,,,,,,,,,,
2654.66477,8604.80849,-0.09,0.17,9.13,-0.03,0.03,0,42.42,989.05,203.45,3.32,1
,,,,,,,,,,,,
2654.66477,8604.80846,-0.08,0.15,9.14,-0.03,0.03,0,42.42,989.05,203.5,3.33,1
,,,,,,,,,,,,
2654.66478,8604.80844,-0.08,0.16,9.14,-0.03,0.03,0,42.42,989.05,203.44,3.33,1
,,,,,,,,,,,,
2654.66478,8604.80843,-0.07,0.15,9.14,-0.03,0.03,0,42.42,989.05,203.48,3.33,1
,,,,,,,,,,,,
2654.66478,8604.80842,-0.08,0.15,9.12,-0.03,0.03,0,42.42,989.04,203.55,3.32,1
,,,,,,,,,,,,
2654.66479,8604.80839,-0.08,0.16,9.14,-0.03,0.04,0,42.42,989.04,203.47,3.32,1
,,,,,,,,,,,,
2654.66479,8604.80839,-0.08,0.16,9.14,-0.03,0.04,0,42.42,989.04,203.47,3.32,0
,,,,,,,,,,,,
2654.66479,8604.80835,-0.07,0.15,9.12,-0.03,0.03,0,42.42,989.05,203.54,3.32,1
,,,,,,,,,,,,
2654.6648,8604.80831,-0.08,0.15,9.09,-0.03,0.04,0,42.42,989.03,203.56,3.32,1
,,,,,,,,,,,,
2654.66479,8604.80829,-0.08,0.14,9.13,-0.03,0.03,0,42.42,989.04,203.61,3.32,1
,,,,,,,,,,,,
2654.6648,8604.80827,-0.08,0.17,9.13,-0.03,0.03,0,42.42,989.04,203.54,3.32,1
,,,,,,,,,,,,
2654.6648,8604.80823,-0.11,0.16,9.13,-0.03,0.03,0,42.43,989.05,203.57,3.32,1
,,,,,,,,,,,,
2654.66481,8604.80823,-0.07,0.16,9.11,-0.03,0.03,0,42.43,989.04,203.56,3.33,1
,,,,,,,,,,,,
2654.66479,8604.80823,-0.08,0.15,9.11,-0.03,0.03,0,42.43,989.05,203.51,3.33,1
,,,,,,,,,,,,
2654.66479,8604.80822,-0.09,0.15,9.1,-0.03,0.03,0,42.43,989.03,203.55,3.32,1
,,,,,,,,,,,,
2654.66478,8604.80822,-0.1,0.16,9.15,-0.03,0.03,0,42.43,989.03,203.57,3.32,1
,,,,,,,,,,,,
2654.66477,8604.80823,-0.08,0.16,9.13,-0.03,0.04,0,42.43,989.04,203.59,3.33,1
,,,,,,,,,,,,
2654.66475,8604.80825,-0.08,0.14,9.13,-0.03,0.04,0,42.43,989.04,203.5,3.32,1
,,,,,,,,,,,,
2654.66476,8604.80824,-0.09,0.17,9.15,-0.03,0.03,0,42.43,989.04,203.56,3.32,1
,,,,,,,,,,,,
2654.66476,8604.80822,-0.08,0.15,9.15,-0.03,0.03,0,42.43,989.04,203.41,3.34,1
,,,,,,,,,,,,
2654.66476,8604.80823,-0.09,0.15,9.11,-0.03,0.04,0,42.43,989.05,203.4,3.32,1
,,,,,,,,,,,,
2654.66478,8604.80822,-0.09,0.14,9.13,-0.03,0.03,0,42.43,989.05,203.45,3.32,1
,,,,,,,,,,,,
2654.66478,8604.80821,-0.07,0.15,9.13,-0.03,0.03,0,42.43,989.05,203.48,3.33,1
,,,,,,,,,,,,
2654.66479,8604.80817,-0.09,0.16,9.13,-0.03,0.03,0,42.43,989.04,203.49,3.33,1
,,,,,,,,,,,,
2654.66479,8604.80817,-0.09,0.16,9.15,-0.03,0.03,0,42.43,989.05,203.56,3.32,1
,,,,,,,,,,,,
2654.66478,8604.80817,-0.08,0.18,9.11,-0.03,0.03,0,42.44,989.04,203.55,3.32,1
,,,,,,,,,,,,
2654.66478,8604.80816,-0.08,0.17,9.14,-0.03,0.03,0,42.44,989.04,203.57,3.32,1
,,,,,,,,,,,,
2654.66481,8604.80816,-0.09,0.17,9.12,-0.03,0.03,0,42.44,989.05,203.52,3.32,1
,,,,,,,,,,,,
2654.6648,8604.80814,-0.09,0.14,9.17,-0.03,0.03,0,42.44,989.04,203.46,3.32,1
,,,,,,,,,,,,
2654.66482,8604.8081,-0.09,0.16,9.14,-0.03,0.03,0,42.44,989.05,203.52,3.33,1
,,,,,,,,,,,,
2654.66484,8604.80809,-0.08,0.16,9.1,-0.03,0.03,0,42.44,989.04,203.49,3.32,1
,,,,,,,,,,,,
2654.66488,8604.80807,-0.07,0.16,9.1,-0.03,0.04,0,42.44,989.04,203.47,3.32,1
,,,,,,,,,,,,
2654.66487,8604.80806,-0.09,0.15,9.12,-0.03,0.03,0,42.44,989.05,203.51,3.32,1
,,,,,,,,,,,,
2654.66485,8604.80805,-0.09,0.15,9.13,-0.03,0.03,0,42.44,989.04,203.46,3.32,1
,,,,,,,,,,,,
2654.66483,8604.80803,-0.07,0.17,9.13,-0.03,0.03,0,42.44,989.04,203.53,3.32,1
,,,,,,,,,,,,
2654.66482,8604.80802,-0.09,0.16,9.12,-0.03,0.04,0,42.44,989.04,203.56,3.32,1
,,,,,,,,,,,,
2654.66479,8604.80802,-0.09,0.16,9.13,-0.03,0.03,0,42.44,989.03,203.6,3.32,1
,,,,,,,,,,,,
2654.6648,8604.80802,-0.09,0.16,9.14,-0.03,0.04,0,42.44,989.04,203.51,3.32,1
,,,,,,,,,,,,
2654.6648,8604.80801,-0.08,0.14,9.14,-0.03,0.03,0,42.45,989.04,203.53,3.32,1
,,,,,,,,,,,,
2654.6648,8604.80801,-0.08,0.14,9.14,-0.03,0.03,0,42.45,989.04,203.53,3.32,0
,,,,,,,,,,,,
2654.6648,8604.80797,-0.08,0.16,9.14,-0.03,0.04,0,42.45,989.05,203.44,3.32,1
,,,,,,,,,,,,
2654.66479,8604.80795,-0.09,0.15,9.12,-0.03,0.03,0,42.45,989.04,203.49,3.32,1
,,,,,,,,,,,,
2654.66479,8604.80793,-0.08,0.14,9.13,-0.03,0.03,0,42.45,989.05,203.51,3.32,1
,,,,,,,,,,,,
2654.6648,8604.80791,-0.1,0.16,9.11,-0.03,0.03,0,42.45,989.05,203.53,3.34,1
,,,,,,,,,,,,
2654.66482,8604.80788,-0.08,0.16,9.13,-0.03,0.04,0,42.45,989.03,203.61,3.32,1
,,,,,,,,,,,,
2654.66481,8604.80786,-0.08,0.18,9.13,-0.03,0.04,0,42.45,989.03,203.58,3.33,1
,,,,,,,,,,,,
2654.6648,8604.80785,-0.07,0.15,9.16,-0.03,0.03,0,42.45,989.04,203.54,3.32,1
,,,,,,,,,,,,
2654.6648,8604.80785,-0.09,0.14,9.12,-0.03,0.03,0,42.45,989.04,203.58,3.32,1
,,,,,,,,,,,,
2654.6648,8604.80786,-0.1,0.15,9.13,-0.03,0.03,0,42.45,989.04,203.55,3.33,1
,,,,,,,,,,,,
2654.66481,8604.80789,-0.1,0.16,9.14,-0.03,0.04,0,42.45,989.05,203.45,3.32,1
,,,,,,,,,,,,
2654.66481,8604.8079,-0.08,0.16,9.14,-0.03,0.03,0,42.45,989.06,203.42,3.32,1
,,,,,,,,,,,,
2654.66479,8604.80792,-0.07,0.15,9.12,-0.03,0.03,0,42.45,989.04,203.54,3.32,1
,,,,,,,,,,,,
2654.66479,8604.80792,-0.09,0.15,9.15,-0.03,0.03,0,42.45,989.04,203.57,3.33,1
,,,,,,,,,,,,
2654.66481,8604.80793,-0.07,0.17,9.16,-0.03,0.03,0,42.45,989.04,203.5,3.32,1
,,,,,,,,,,,,
2654.66484,8604.80791,-0.06,0.17,9.13,-0.03,0.03,0,42.45,989.04,203.52,3.32,1
,,,,,,,,,,,,
2654.66487,8604.80788,-0.1,0.15,9.14,-0.03,0.03,0,42.45,989.03,203.61,3.32,1
,,,,,,,,,,,,
2654.66488,8604.80787,-0.08,0.14,9.14,-0.03,0.03,0,42.46,989.04,203.53,3.32,1
,,,,,,,,,,,,
